pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1208.081070,286.794500,1253.479017,279.502704,1246.533264,313.134292,NaN,NaN
1202.760134,286.418002,1248.149948,279.502704,NaN,NaN,NaN,NaN
1196.489030,285.665005,1242.761001,279.265444,NaN,NaN,NaN,NaN
1192.118261,285.853254,1237.970826,278.257090,NaN,NaN,NaN,NaN
1187.430769,285.853254,1233.180652,277.960515,NaN,NaN,NaN,NaN
1182.236521,285.100258,1228.150968,277.604625,NaN,NaN,NaN,NaN
1177.802407,285.853254,1223.839811,277.011475,NaN,NaN,NaN,NaN
1172.481471,286.104253,1219.528653,276.952160,NaN,NaN,NaN,NaN
1167.920668,286.355252,1213.780443,276.952160,NaN,NaN,NaN,NaN
1162.726420,286.355252,1209.768672,277.011475,NaN,NaN,NaN,NaN
1157.405484,286.104253,1205.277883,277.485995,NaN,NaN,NaN,NaN
1152.147891,286.355252,1199.686599,277.154285,NaN,NaN,1166.767485,252.402487
1146.890299,286.104253,1193.472470,277.804896,NaN,NaN,NaN,NaN
1141.442674,286.418002,1188.369811,277.804896,NaN,NaN,NaN,NaN
1137.325282,285.853254,1184.479665,277.504614,NaN,NaN,NaN,NaN
1131.244212,286.104253,1178.113972,278.005084,NaN,NaN,NaN,NaN
1126.430031,286.355252,1173.516527,277.804896,NaN,NaN,NaN,NaN
1121.531432,285.693101,1167.504483,278.005084,NaN,NaN,NaN,NaN
1116.576486,285.693101,1162.907038,277.504614,NaN,NaN,NaN,NaN
1111.565234,285.637324,1158.208550,277.454567,NaN,NaN,NaN,NaN
1106.948125,285.693101,1153.105891,277.154285,NaN,NaN,NaN,NaN
1102.105791,285.693101,1146.891762,277.154285,1136.872390,311.053028,NaN,NaN
1096.081027,285.637324,1142.496402,276.904050,NaN,NaN,NaN,NaN
1090.957162,285.637324,1137.090615,275.903110,NaN,NaN,NaN,NaN
1085.270235,284.744884,1131.886914,275.853063,NaN,NaN,NaN,NaN
1079.470695,284.744884,1126.127477,275.352593,NaN,NaN,NaN,NaN
1074.684668,284.800661,1122.237331,275.352593,NaN,NaN,NaN,NaN
1069.222966,284.465996,1116.326330,275.052311,NaN,NaN,NaN,NaN
1064.042794,284.856439,1112.335141,275.152405,NaN,NaN,NaN,NaN
1059.707216,284.465996,1106.676747,275.052311,NaN,NaN,NaN,NaN
1054.977495,284.856439,1103.978127,273.897617,NaN,NaN,NaN,NaN
1050.247774,284.856439,1098.294472,274.516949,NaN,NaN,NaN,NaN
1043.997785,285.023771,1092.838163,274.516949,NaN,NaN,1058.005418,251.480749
1037.578877,285.414214,1087.040836,274.516949,NaN,NaN,NaN,NaN
1034.819873,285.191104,1082.664422,274.911069,NaN,NaN,NaN,NaN
1028.682496,284.800661,1076.128219,275.474098,NaN,NaN,NaN,NaN
1023.671244,284.521773,1070.160381,275.474098,NaN,NaN,NaN,NaN
1019.054135,284.856439,1064.988255,275.192584,NaN,NaN,NaN,NaN
1013.873963,284.856439,1059.304601,275.474098,NaN,NaN,NaN,NaN
1008.018118,284.800661,1053.734619,275.699310,NaN,NaN,NaN,NaN
1003.288396,284.410218,1048.733003,275.079978,NaN,NaN,NaN,NaN
997.432551,284.242886,1044.299752,275.811915,NaN,NaN,NaN,NaN
991.259155,283.826057,1038.331915,275.192584,1029.908665,311.648882,NaN,NaN
987.054959,283.082356,1032.875606,274.291738,NaN,NaN,NaN,NaN
982.150062,283.578157,1028.101336,274.010223,NaN,NaN,NaN,NaN
976.794716,283.082356,1023.099720,273.334589,NaN,NaN,NaN,NaN
971.389320,283.082356,1017.131882,273.897617,NaN,NaN,NaN,NaN
965.783725,283.082356,1013.778526,274.010223,NaN,NaN,NaN,NaN
960.678628,282.090756,1007.930059,273.721537,NaN,NaN,NaN,NaN
954.722683,282.090756,1001.663829,272.665858,NaN,NaN,NaN,NaN
949.417387,282.388236,996.719050,272.159132,NaN,NaN,NaN,NaN
944.512491,281.694116,991.049604,272.328041,NaN,NaN,NaN,NaN
938.706695,282.041176,985.422786,272.328041,NaN,NaN,NaN,NaN
933.101099,282.041176,979.966477,272.623631,NaN,NaN,NaN,NaN
927.845853,281.842856,975.874246,272.159132,NaN,NaN,947.405774,250.233947
922.040057,281.644536,969.437507,272.328041,NaN,NaN,NaN,NaN
917.685711,281.842856,965.345275,272.581404,NaN,NaN,NaN,NaN
913.131164,281.644536,961.082534,271.736861,NaN,NaN,NaN,NaN
908.126168,281.644536,954.432658,272.074678,NaN,NaN,NaN,NaN
902.170222,280.801676,949.516902,271.916088,NaN,NaN,NaN,NaN
896.914976,280.454615,944.229771,272.236751,NaN,NaN,NaN,NaN
890.858931,280.454615,937.809683,272.022976,NaN,NaN,NaN,NaN
885.553635,280.702515,933.439708,271.648869,NaN,NaN,NaN,NaN
880.248339,281.148736,927.882825,271.809201,NaN,NaN,NaN,NaN
874.993093,280.603355,922.110141,271.916088,912.101519,308.215689,NaN,NaN
869.324151,279.757184,916.283507,271.648869,NaN,NaN,NaN,NaN
864.252422,279.977540,911.158227,271.114432,NaN,NaN,NaN,NaN
858.735804,279.580900,905.493444,270.793769,NaN,NaN,NaN,NaN
852.729808,279.757184,900.691865,270.633438,NaN,NaN,NaN,NaN
848.236434,279.977540,895.242884,270.526551,NaN,NaN,NaN,NaN
842.541860,279.448686,889.578100,270.686882,NaN,NaN,NaN,NaN
837.336664,279.492758,884.830472,269.564563,NaN,NaN,NaN,NaN
831.330669,279.801255,881.161851,270.045557,NaN,NaN,NaN,NaN
825.947517,279.757184,875.497068,269.243901,NaN,NaN,NaN,NaN
820.831299,279.624971,869.454632,269.778338,NaN,NaN,NaN,NaN
814.736326,278.831691,864.221452,269.992113,NaN,NaN,833.741323,247.317125
808.596864,279.316473,NaN,NaN,NaN,NaN,NaN,NaN
802.368424,279.052046,853.970891,269.778338,NaN,NaN,NaN,NaN
798.053005,278.699477,848.198208,269.778338,NaN,NaN,NaN,NaN
790.445411,278.435050,842.047872,269.243901,NaN,NaN,NaN,NaN
786.881363,277.752613,837.157707,268.921453,NaN,NaN,NaN,NaN
781.483382,277.458805,832.150443,269.432509,NaN,NaN,NaN,NaN
776.856541,277.282521,825.686521,269.973627,NaN,NaN,NaN,NaN
772.111063,277.635090,820.527522,269.673006,NaN,NaN,NaN,NaN
766.831719,277.635090,815.277482,268.921453,NaN,NaN,NaN,NaN
761.552375,277.635090,810.421953,268.861329,801.448711,302.158471,NaN,NaN
756.628941,277.282521,804.079419,268.440460,NaN,NaN,NaN,NaN
750.637776,276.871190,798.070703,268.590770,NaN,NaN,NaN,NaN
744.824565,277.223759,793.822115,267.869279,NaN,NaN,NaN,NaN
739.841813,276.518621,788.116869,268.230025,NaN,NaN,NaN,NaN
733.257463,276.518621,782.533012,267.448410,NaN,NaN,NaN,NaN
727.384934,276.518621,778.402420,266.778504,NaN,NaN,NaN,NaN
723.173322,276.636144,772.052299,267.454901,NaN,NaN,NaN,NaN
717.716023,276.518621,765.975302,266.846143,NaN,NaN,NaN,NaN
712.377360,276.636144,760.820096,267.454901,NaN,NaN,NaN,NaN
706.329270,276.112683,756.279418,267.251982,NaN,NaN,NaN,NaN
701.320154,276.112683,750.680387,266.778504,NaN,NaN,NaN,NaN
695.625581,275.903753,744.500968,266.981423,NaN,NaN,713.305777,245.997545
690.932830,276.582775,739.960290,267.353441,NaN,NaN,NaN,NaN
683.709158,276.112683,733.712591,266.879963,NaN,NaN,NaN,NaN
677.909130,276.426077,728.250121,266.744684,NaN,NaN,NaN,NaN
672.478194,276.112683,721.524456,267.454901,NaN,NaN,NaN,NaN
667.838171,276.426077,716.266829,267.454901,NaN,NaN,NaN,NaN
662.512690,275.747055,711.627299,266.956814,NaN,NaN,NaN,NaN
656.554479,275.538126,705.981324,267.070956,NaN,NaN,NaN,NaN
651.703546,275.329196,701.141918,266.576341,NaN,NaN,NaN,NaN
647.168979,275.172498,694.689375,266.157820,NaN,NaN,NaN,NaN
641.738043,274.754639,688.697729,265.929536,675.500499,304.596990,NaN,NaN
635.832559,273.344363,684.933746,265.358825,NaN,NaN,NaN,NaN
629.716165,273.657757,678.327572,265.282731,NaN,NaN,NaN,NaN
623.230679,273.553293,672.720006,264.940304,NaN,NaN,NaN,NaN
619.117931,273.292130,667.534927,264.750068,NaN,NaN,NaN,NaN
613.581540,273.553293,661.620097,264.940304,NaN,NaN,NaN,NaN
606.469182,273.853951,657.087954,264.141310,NaN,NaN,NaN,NaN
601.372718,273.745379,650.520188,263.532552,NaN,NaN,NaN,NaN
595.618646,273.528234,646.295309,263.532552,NaN,NaN,NaN,NaN
590.467381,273.473948,641.640933,262.969069,NaN,NaN,NaN,NaN
585.864124,273.528234,636.931154,262.498233,NaN,NaN,589.506257,241.923499
580.110051,273.473948,629.844880,262.755052,NaN,NaN,NaN,NaN
573.533969,272.388225,624.314129,263.097478,NaN,NaN,NaN,NaN
568.875911,272.008222,620.382112,261.984593,NaN,NaN,NaN,NaN
563.395842,272.388225,614.851361,261.984593,NaN,NaN,NaN,NaN
557.367767,272.388225,608.067550,262.284216,NaN,NaN,NaN,NaN
551.613694,271.845364,602.623218,262.070200,NaN,NaN,NaN,NaN
546.243227,272.008222,596.487541,262.327019,NaN,NaN,NaN,NaN
541.037162,271.899650,590.438283,262.070200,NaN,NaN,NaN,NaN
535.885897,271.465361,583.611263,261.128528,NaN,NaN,NaN,NaN
529.474217,271.519647,577.259542,261.171331,567.247820,304.875263,NaN,NaN
524.377753,271.845364,571.469538,261.770577,NaN,NaN,NaN,NaN
518.514080,271.465361,566.154832,260.957315,NaN,NaN,NaN,NaN
512.540805,271.031072,560.494455,260.657692,NaN,NaN,NaN,NaN
506.731932,270.705355,555.050122,260.700495,NaN,NaN,NaN,NaN
501.643737,270.093666,550.599597,260.058446,NaN,NaN,NaN,NaN
496.176023,269.642301,545.068846,259.972839,NaN,NaN,NaN,NaN
490.100785,269.642301,537.982572,260.400872,NaN,NaN,NaN,NaN
485.012774,269.792756,533.290509,260.090375,NaN,NaN,NaN,NaN
479.696941,269.642301,528.429497,259.416223,NaN,NaN,NaN,NaN
473.621703,270.093666,523.422656,259.753299,NaN,NaN,NaN,NaN
467.242704,269.642301,517.103342,260.186682,NaN,NaN,NaN,NaN
461.091525,269.642301,510.832637,260.764526,NaN,NaN,NaN,NaN
455.395990,269.642301,504.853594,260.186682,NaN,NaN,466.041953,237.260032
449.928276,268.965254,499.943972,260.571911,NaN,NaN,NaN,NaN
444.080860,269.642301,491.874694,261.101602,NaN,NaN,NaN,NaN
439.144729,269.642301,487.597004,260.523758,NaN,NaN,NaN,NaN
432.765730,269.266164,483.270704,260.523758,NaN,NaN,NaN,NaN
427.753658,269.266164,476.125018,261.101602,NaN,NaN,NaN,NaN
422.437825,268.965254,471.264007,260.523758,NaN,NaN,NaN,NaN
417.046052,268.438662,466.159945,260.860834,NaN,NaN,NaN,NaN
411.806159,268.438662,459.792021,260.571911,NaN,NaN,NaN,NaN
405.654981,268.062525,454.785179,261.246063,439.033380,292.077501,NaN,NaN
399.959446,267.535933,448.903356,260.234836,NaN,NaN,NaN,NaN
394.112030,267.535933,443.118753,260.234836,NaN,NaN,NaN,NaN
388.492435,267.535933,438.257742,260.042221,NaN,NaN,NaN,NaN
383.739837,267.572396,431.549546,259.849606,NaN,NaN,NaN,NaN
376.854568,267.572396,424.549690,259.223608,NaN,NaN,NaN,NaN
371.454357,267.572396,420.131472,259.219292,NaN,NaN,NaN,NaN
364.839098,267.104314,413.350362,259.165119,NaN,NaN,NaN,NaN
359.168876,267.572396,407.881724,259.219292,NaN,NaN,NaN,NaN
353.498654,266.836838,402.795892,258.677563,NaN,NaN,NaN,NaN
348.435956,267.238051,396.780390,258.460872,NaN,NaN,NaN,NaN
342.630729,266.569363,391.311753,258.840082,NaN,NaN,NaN,NaN
336.150475,266.903707,386.171234,258.460872,NaN,NaN,350.623870,233.851898
331.290285,267.104314,380.593223,258.298353,NaN,NaN,NaN,NaN
324.202508,266.569363,373.976172,258.406699,NaN,NaN,NaN,NaN
319.072307,266.836838,368.288789,258.569217,NaN,NaN,NaN,NaN
312.727059,266.903707,362.327974,258.460872,NaN,NaN,NaN,NaN
307.191842,266.168150,355.929668,258.027488,NaN,NaN,NaN,NaN
301.521620,266.101281,349.914167,257.864970,NaN,NaN,NaN,NaN
295.851399,266.435626,344.500216,258.460872,NaN,NaN,NaN,NaN
290.856203,267.104314,338.703460,257.919143,NaN,NaN,NaN,NaN
285.185981,266.101281,332.195782,257.431587,NaN,NaN,NaN,NaN
279.313252,266.101281,326.453712,257.539932,307.539796,286.011095,NaN,NaN
273.170511,265.833806,321.094448,257.323241,NaN,NaN,NaN,NaN
267.500289,265.833806,315.133633,257.323241,NaN,NaN,NaN,NaN
262.302586,266.101281,308.899386,257.160722,NaN,NaN,NaN,NaN
256.159846,265.833806,303.485435,257.269068,NaN,NaN,NaN,NaN
249.544587,266.168150,298.782407,257.160722,NaN,NaN,NaN,NaN
243.941867,265.967544,292.851241,256.228541,NaN,NaN,NaN,NaN
238.204143,265.700068,287.829013,256.633489,NaN,NaN,NaN,NaN
231.811306,265.267537,280.470865,256.054992,NaN,NaN,NaN,NaN
226.838948,265.267537,275.857423,256.864888,NaN,NaN,NaN,NaN
220.919474,265.814833,269.316847,257.211986,NaN,NaN,NaN,NaN
214.289663,265.814833,263.593843,257.443384,NaN,NaN,234.419263,228.081032
208.054484,265.814833,257.286859,257.443384,NaN,NaN,NaN,NaN
202.687494,266.283945,251.972641,257.211986,NaN,NaN,NaN,NaN
197.399431,265.736648,246.249638,257.269835,NaN,NaN,NaN,NaN
192.190294,265.423907,240.585032,257.848332,NaN,NaN,NaN,NaN
186.507599,265.423907,234.453242,257.443384,NaN,NaN,NaN,NaN
180.588125,265.814833,227.445482,257.269835,NaN,NaN,NaN,NaN
174.905431,265.736648,222.948836,257.443384,NaN,NaN,NaN,NaN
168.275620,265.267537,216.466658,257.790482,NaN,NaN,NaN,NaN
162.592925,265.736648,209.342102,257.848332,NaN,NaN,NaN,NaN
157.620567,266.283945,203.443904,257.848332,185.536863,276.356909,NaN,NaN
151.385388,266.283945,197.195318,258.195430,NaN,NaN,NaN,NaN
144.913430,265.971204,192.465081,258.079731,NaN,NaN,NaN,NaN
140.098925,265.814833,186.566883,258.079731,NaN,NaN,NaN,NaN
133.942672,265.814833,180.201501,258.195430,NaN,NaN,NaN,NaN
127.944272,265.736648,175.588059,257.848332,NaN,NaN,NaN,NaN
121.788019,265.736648,170.157045,257.674783,NaN,NaN,NaN,NaN
116.736734,266.049389,164.200449,257.790482,NaN,NaN,NaN,NaN
111.027079,266.441351,159.017863,257.459283,NaN,NaN,NaN,NaN
104.923444,266.302355,151.811641,257.788755,NaN,NaN,NaN,NaN
98.048085,266.580347,146.767286,257.459283,NaN,NaN,NaN,NaN
92.014606,267.344825,140.059956,258.173139,NaN,NaN,NaN,NaN
85.209404,266.997335,134.239546,257.788755,NaN,NaN,109.135388,226.551063
79.316239,267.275327,128.419136,258.337875,NaN,NaN,NaN,NaN
73.423074,267.275327,123.485646,258.173139,NaN,NaN,NaN,NaN
66.477558,267.344825,116.501154,257.788755,NaN,NaN,NaN,NaN
62.057684,267.553319,111.290501,258.173139,NaN,NaN,NaN,NaN
56.164519,267.344825,105.414659,257.788755,NaN,NaN,NaN,NaN
50.902764,267.275327,99.594249,258.612434,NaN,NaN,NaN,NaN
45.711166,267.692315,93.829272,258.118227,NaN,NaN,NaN,NaN
39.467218,268.039805,87.399105,257.569107,NaN,NaN,NaN,NaN
33.574053,268.456793,81.578695,257.349459,NaN,NaN,NaN,NaN
28.031671,268.734785,75.869150,257.459283,NaN,NaN,NaN,NaN
22.489290,268.734785,69.660712,257.349459,56.115281,282.980329,NaN,NaN
16.736438,269.221271,64.117465,257.349459,NaN,NaN,NaN,NaN
11.123900,269.429765,58.019892,258.173139,NaN,NaN,NaN,NaN
4.809795,269.707757,51.713221,258.017038,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
